topic_id,definition
0,0 - agend per vot favor punt Draghi programm italian propost mett
1,1 - cos sinistr Luca a altro e sol de la tant
2,2 - vot poi lavor si per nuov paes popul @forza_ital giovan
3,3 - stat mand Conte prim fin govern 👉 quest Draghi elettoral
4,4 - complet guard 👉🏻 vide forz Italia lavor programm vot vogl
5,5 - coalizion govern destr vot util part sinistr unic paes esist
6,6 - aspett vi oggi staser ser doman elettoral dirett piazz parl
7,7 - paes a nell Italia far è in un pen nessun
8,8 - 25 settembr #cred #25settembrevotoleg scegl Lega italian cred confin torn
9,9 - pension entusiasm a la Italia anni passion venerd Milano vot
10,10 - legg in sempr ora Italia e giovan part mai far
11,11 - ide camb unic paes propr vot vogl stop grand esser
12,12 - Lega #25settembrevotoleg graz italian tass 25 settembr patrimonial com aiut
13,13 - #scegl #25settembrevotopd propost ser ier la interv daj vuol dall
14,14 - Draghi prim govern polit stess rigassif napol giorn far cos
15,15 - vinc fest 💪 tant domen Lega vogl bell unit graz
16,16 - viv sbagl volontar pens andat Italia pd govern fors non
17,17 - lavor prim cancell la paes dev anni part già vogl
18,18 - ben sper non parl brav esser cert prim person torn
19,19 - italian vot Italia mer #cred liber tass vogl giovan noi
20,20 - @rtl1025 dop anni flat tax legg tre conferm l'interv bast
21,21 - una gioc speranz govern sol cos alcun non redd prim
22,22 - candid ogni giorn colleg present due punt #italiasulser list camer
23,23 - la lavor polit scegl molt san per son camb appell
24,24 - lavor centr il tass stat giovan pension aument sinistr torn
25,25 - impres famigl bollett prezz propost tett energ europe cost decret
26,26 - mattin tant part quest pens ecco amic esser stat pomerigg
27,27 - russ Putin oggi manc fatt non decret Berlusconi polit il
28,28 - vot non citt compagn insegn sinistr pd il e decid
29,29 - 5s non elettor vot noi @mara_carfagn lavor vuol mai tutt
30,30 - per accord un garant sinistr stim sol la stat apert
31,31 - rispett sol accord difend govern la cittadin uman europe mar
32,32 - vot pot altri polit govern present min part sostegn non
33,33 - poc ci ved tra dirett amic #dallapartegiust streaming forum doman
34,34 - pagin facebook dirett segu ora dettagl canal #cred polit graz
35,35 - part esser vot far candid nuov per può nessun arriv
36,36 - Italia pront il #italiasulser siam risollev centrodestr dic vot unit
37,37 - di Maio cos Salvini pd govern Meloni Fratoianni Letta Conte
38,38 - esser l dev govern Italia #bollett le ora far ferm
39,39 - avant ho region port la ascolt quest parl mattin mi
40,40 - #dallapartegiust star cos poss Milano altro scegl oggi #italiasulser post
41,41 - vot il Salvini fatt social destr oggi aiut stat a
42,42 - ferm ministr quand vol difend fatt #25settembrevotoleg il sinistr arriv
43,43 - #alleanzaverdisinistr ospit ore #elezionipolitiche2022 @raitr @agorara #elezionipolitiche22 luned non @piu_europ
44,44 - la govern cos polit Draghi mai vot paes fin chied
45,45 - no … Italia continu stat dic dir sinistr cittadin lavor
46,46 - nucl bollett gas pag pul luc energ il Italia chi
47,47 - grand abbracc tant paes graz un sempr avant affett splendid
48,48 - stat destr govern Letta batt programm prem esser fil part
49,49 - vot forz dev Italia govern italian #zonabianc il 25 settembr
50,50 - sembr europ @piu_europ ma Salvini chied dif cos assurd @repubbl
51,51 - ser quest intervist ret 4 Rai anni la dop @pdnetwork
52,52 - eur sub fin la azi lavor in invest #italiasulser dedic
53,53 - dirett segu qui ️ ora ⤵ guerr poch che 👇🏻
54,54 - vot sol cos parl esser stat sempr anni lavor son
55,55 - test Italia il perd te person sol paes vot lavor
56,56 - ciò govern e vot person dic buon Draghi parl campagn
57,57 - polit dop con lavor sinistr cresc giorn blocc occorr Italia
58,58 - domand rispond cos la e Italia sinistr volt perc ripet
59,59 - realizz cred il italian polem Italia anni cos mai super
60,60 - italian lavor pur fianc 2022 prezios povert vot sbarc squadr
61,61 - #votafd #melon #elezionipolitiche2022 @fratellidital ora 25 settembr sempr far miglior
62,62 - #25settembrevotoleg #cred 🇮🇹 Lega propr che orgogl Italia oggi qui
63,63 - 1/2 2/2 donn ricord e giovan la il vit libert
64,64 - lavor tour anche altro parl tapp oggi Europa @enricolett fiduc
65,65 - elettoral campagn cos la Salvini oggi Meloni l'ital grand part
66,66 - in dirett seguitem 😊 #25settembrevotoleg stat #cred amic parl Lega
67,67 - per e govern Italia 25 part elezion settembr sinistr paes
68,68 - priorit c'è vogl cittadin vot corr diritt italian prend caric
69,69 - incontr polit fatt giorn sicur quand e pd tant difficolt
